Name,Website,Email,Phone,Industries,Goods,"City, Country",Address,Description
Widex,www.widex.com,,,Health care,Hearing aids,"Lynge, Denmark",,
Wienerberger,www.wienerberger.com,,,Building materials,"Tiles, bricks & ceramics","Vienna, Austria",,
Wikimedia Foundation,www.wikimediafoundation.org,,,,,"San Francisco,  United States / Los Angeles,  U.S",,
Wilko,www.wilko.com,,,Retail,"Basic groceries, consumer goods, DIY, stationery, petsupplies","Worksop, United Kingdom",,
Willi Betz,www.willibetz.com,,,Spedition,,Reutlingen,,
William Blair & Company,www.williamblair.com,,,Financial Services,"Investment Banking, Equity research, Brokerage, Asset Management, Private Capital","Chicago, Illinois, United States",,
William Blair Capital Partners,www.cgp.com,,,Private equity,"Leveraged buyout, Growth capital","Chicago, Illinois, ",,
William Demant,www.demant.com,,,Health care,"Hearing aids, audiometricequipment","Smørum, Denmark",,
William Hill,www.williamhill.com,,,Gambling,"Bookmaking, betting shops, online gambling","Wood Green, London, United Kingdom
Leeds, United Kingdom",,
William Jackson Food Group,www.wjfg.co.uk,,,Food manufacturing,,Hessle,,
Williams,www.williams.com,,,Oil Services & Equipment,,"Tulsa, Oklahoma,United States",,"The Williams Cos., operates as an integrated natural gas company that explores, produces, transports, sells and processes natural gas and petroleum products. It operates through three segments: Williams Partners, Williams NGL & Petchem Services and Others. The Williams Partners segment includes gas pipeline and domestic midstream businesses. The gas pipeline business includes interstate natural gas pipelines and pipeline joint venture investments, and the midstream business provides natural gas gathering, treating and processing services; NGL production, fractionation, storage, marketing and transportation and deepwater production handling and crude oil transportation services. The Williams NGL & Petchem Services comprises Texas belle pipeline and certain other domestic olefins pipeline assets and certain canadian growth projects under development, including a propane dehydrogenation facility and a liquids extraction plant. The Other segment comprises of corporate operations and Canadian construction services company. The company was founded in 1908 by David Williams and Miller Williams and is headquartered in Tulsa, OK."
Willis Stein & Partners,www.willisstein.com,,,Private Equity,"Private equity funds, Leveraged buyouts","Chicago, Illinois, ",,
Willis Towers Watson,www.willis.com,,,Diversified Insurance,,United Kingdom,,"Willis Towers Watson Plc provides advisory and broking solutions. It also provides exchange solutions, investment, risk and reinsurance services. The company was founded on January 4, 2016 and is headquartered in London, The United Kingdom."
Wilmar International,www.wilmar-international.com,,,Food Processing,,"Singapore,Singapore",,"Wilmar International is an investment holding company, which engages in the processing, merchandising, and distribution of agricultural products. It is also involved in the management and operations of oil mills and plantations. It operates through the following seven business segments: Palm & Laurics, Oilseeds & Grains, Consumer Products, Plantations & Palm Oil Mills, Sugar Milling, Sugar Merchandising & Processing, and Others. The Palm and Laurics segment comprises the merchandising and processing of palm oil and laurics related products. processing includes refining, fractionation and other down-stream processing. The Oilseeds and Grains segment comprises the merchandising and processing of a wide range of edible oils, oilseeds and grains from the crushing and milling, further processing and refining of soybean as well as other oilseeds and grains. The Consumer Products segment comprises packaging and sales of consumer pack edible oils, rice, flour, grains and others. The Plantations and Palm Oil Mills segment comprises oil palm cultivation and milling. The Sugar Milling segment comprises milling of sugar cane to produce raw sugar and also by-products, such as molasses and ethanol. The Sugar Merchandising and Processing segment comprises the merchandising and processing of sugar and its related products. The processing of sugar produces food-grade products such as white sugar, brown sugar, caster sugar and syrups. The Others segment includes the manufacturing and distribution of fertiliser products and ship-chartering services. Wilmar International was founded by Kuok Khoon Hong and Martua Sitorus in 1991 and is headquartered in Singapore."
Winchester Repeating Arms Company,www.winchesterguns.com,,,firearms,"rifles, pistols, shotguns, ammunition, shooting accessories","New Haven, Connecticut, United States",,
Wind Telecom,www.en.wikipedia.org/wiki/Wind_Telecom,,,Telecommunications,"Mobile telephony, mobile phones retailing","Amsterdam, Netherlands",,
Windstream Holdings Inc,www.windstream.com,,,Telecommunications,"Advanced Network Communications, including Cloud Computing and Managed Services to businesses nationwide. Broadband, Phone and Digital TV to consumers in rural areas.","Little Rock, Arkansas, United States",,
Winning Appliances,www.winningappliances.com.au,,,,,,,
Wintime Energy,www.wtecl.com ,,,Diversified Metals & Mining,,"Taian, China",,"Wintime Energy Co., Ltd engages in the production and distribution of oil. Its products include finished oil and lubricant oil. It involves in the processing of coal, investments of coal mining, power and new energy. The company was founded on November 6, 1988 and is headquartered in Taian, China."
